,STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,namecheck
0,GR000016716,"HELLINIKON, GR",01-01-55,0.0,,,65.0,50.0,True
1,GR000016716,"HELLINIKON, GR",02-01-55,0.08,,,58.0,45.0,True
2,GR000016716,"HELLINIKON, GR",03-01-55,0.0,,,60.0,49.0,True
3,GR000016716,"HELLINIKON, GR",04-01-55,0.0,,,66.0,45.0,True
4,GR000016716,"HELLINIKON, GR",05-01-55,0.0,,,64.0,47.0,True
5,GR000016716,"HELLINIKON, GR",06-01-55,0.0,,,67.0,48.0,True
6,GR000016716,"HELLINIKON, GR",07-01-55,0.0,,,64.0,47.0,True
7,GR000016716,"HELLINIKON, GR",08-01-55,0.0,,,64.0,56.0,True
8,GR000016716,"HELLINIKON, GR",09-01-55,0.12,,,63.0,54.0,True
9,GR000016716,"HELLINIKON, GR",10-01-55,0.0,,,64.0,47.0,True
10,GR000016716,"HELLINIKON, GR",11-01-55,0.02,,,61.0,50.0,True
11,GR000016716,"HELLINIKON, GR",12-01-55,0.0,,,64.0,47.0,True
12,GR000016716,"HELLINIKON, GR",13-01-55,0.0,,,69.0,48.0,True
13,GR000016716,"HELLINIKON, GR",14-01-55,0.0,,,70.0,50.0,True
14,GR000016716,"HELLINIKON, GR",15-01-55,0.0,,,71.0,52.0,True
15,GR000016716,"HELLINIKON, GR",16-01-55,0.0,,,66.0,48.0,True
16,GR000016716,"HELLINIKON, GR",17-01-55,0.0,,,65.0,47.0,True
17,GR000016716,"HELLINIKON, GR",18-01-55,0.0,,,65.0,58.0,True
18,GR000016716,"HELLINIKON, GR",19-01-55,0.06,,,65.0,57.0,True
19,GR000016716,"HELLINIKON, GR",20-01-55,0.22,,,63.0,50.0,True
20,GR000016716,"HELLINIKON, GR",21-01-55,0.43,,,59.0,54.0,True
21,GR000016716,"HELLINIKON, GR",22-01-55,1.09,,,55.0,49.0,True
22,GR000016716,"HELLINIKON, GR",23-01-55,0.0,,,59.0,45.0,True
23,GR000016716,"HELLINIKON, GR",24-01-55,0.0,,,56.0,49.0,True
24,GR000016716,"HELLINIKON, GR",25-01-55,0.0,,,53.0,47.0,True
25,GR000016716,"HELLINIKON, GR",26-01-55,0.0,,,55.0,44.0,True
26,GR000016716,"HELLINIKON, GR",27-01-55,0.0,,,57.0,44.0,True
27,GR000016716,"HELLINIKON, GR",28-01-55,0.0,,,58.0,40.0,True
28,GR000016716,"HELLINIKON, GR",29-01-55,0.0,,,62.0,49.0,True
29,GR000016716,"HELLINIKON, GR",30-01-55,0.63,,,61.0,51.0,True
30,GR000016716,"HELLINIKON, GR",31-01-55,0.0,,,66.0,46.0,True
31,GR000016716,"HELLINIKON, GR",01-02-55,0.0,,,60.0,47.0,True
32,GR000016716,"HELLINIKON, GR",02-02-55,0.14,,,66.0,52.0,True
33,GR000016716,"HELLINIKON, GR",03-02-55,0.37,,,58.0,46.0,True
34,GR000016716,"HELLINIKON, GR",04-02-55,0.19,,,58.0,41.0,True
35,GR000016716,"HELLINIKON, GR",05-02-55,0.59,,,58.0,49.0,True
36,GR000016716,"HELLINIKON, GR",06-02-55,0.0,,,66.0,47.0,True
37,GR000016716,"HELLINIKON, GR",07-02-55,0.0,,,64.0,44.0,True
38,GR000016716,"HELLINIKON, GR",08-02-55,0.0,,,64.0,54.0,True
39,GR000016716,"HELLINIKON, GR",09-02-55,0.0,,,65.0,51.0,True
40,GR000016716,"HELLINIKON, GR",10-02-55,0.0,,,64.0,48.0,True
41,GR000016716,"HELLINIKON, GR",11-02-55,0.0,,,71.0,47.0,True
42,GR000016716,"HELLINIKON, GR",12-02-55,0.0,,,67.0,47.0,True
43,GR000016716,"HELLINIKON, GR",13-02-55,0.0,,,64.0,53.0,True
44,GR000016716,"HELLINIKON, GR",14-02-55,0.0,,,66.0,51.0,True
45,GR000016716,"HELLINIKON, GR",15-02-55,0.0,,,63.0,47.0,True
46,GR000016716,"HELLINIKON, GR",16-02-55,0.0,,,60.0,41.0,True
47,GR000016716,"HELLINIKON, GR",17-02-55,0.0,,,67.0,52.0,True
48,GR000016716,"HELLINIKON, GR",18-02-55,0.0,,,70.0,60.0,True
49,GR000016716,"HELLINIKON, GR",19-02-55,0.0,,,69.0,53.0,True
50,GR000016716,"HELLINIKON, GR",20-02-55,0.0,,,68.0,48.0,True
51,GR000016716,"HELLINIKON, GR",21-02-55,0.0,,,64.0,50.0,True
52,GR000016716,"HELLINIKON, GR",22-02-55,0.0,,,62.0,47.0,True
53,GR000016716,"HELLINIKON, GR",23-02-55,0.0,,,63.0,46.0,True
54,GR000016716,"HELLINIKON, GR",24-02-55,0.0,,,65.0,51.0,True
55,GR000016716,"HELLINIKON, GR",25-02-55,0.0,,,69.0,57.0,True
56,GR000016716,"HELLINIKON, GR",26-02-55,0.0,,,67.0,60.0,True
57,GR000016716,"HELLINIKON, GR",27-02-55,0.0,,,68.0,43.0,True
58,GR000016716,"HELLINIKON, GR",28-02-55,0.0,,,63.0,48.0,True
59,GR000016716,"HELLINIKON, GR",01-03-55,0.0,,,64.0,53.0,True
60,GR000016716,"HELLINIKON, GR",02-03-55,0.48,,,65.0,45.0,True
61,GR000016716,"HELLINIKON, GR",03-03-55,0.11,,,51.0,44.0,True
62,GR000016716,"HELLINIKON, GR",04-03-55,0.03,,,50.0,38.0,True
63,GR000016716,"HELLINIKON, GR",05-03-55,0.0,,,47.0,35.0,True
64,GR000016716,"HELLINIKON, GR",06-03-55,0.0,,,57.0,32.0,True
65,GR000016716,"HELLINIKON, GR",07-03-55,0.0,,,58.0,35.0,True
66,GR000016716,"HELLINIKON, GR",08-03-55,0.0,,,65.0,50.0,True
67,GR000016716,"HELLINIKON, GR",09-03-55,0.0,,,67.0,52.0,True
68,GR000016716,"HELLINIKON, GR",10-03-55,0.01,,,61.0,50.0,True
69,GR000016716,"HELLINIKON, GR",11-03-55,0.0,,,63.0,53.0,True
70,GR000016716,"HELLINIKON, GR",12-03-55,0.0,,,59.0,46.0,True
71,GR000016716,"HELLINIKON, GR",13-03-55,0.01,,,53.0,46.0,True
72,GR000016716,"HELLINIKON, GR",14-03-55,0.04,,,55.0,46.0,True
73,GR000016716,"HELLINIKON, GR",15-03-55,0.0,,,52.0,45.0,True
74,GR000016716,"HELLINIKON, GR",16-03-55,0.0,,,53.0,43.0,True
75,GR000016716,"HELLINIKON, GR",17-03-55,0.0,,,57.0,39.0,True
76,GR000016716,"HELLINIKON, GR",18-03-55,0.0,,,61.0,45.0,True
77,GR000016716,"HELLINIKON, GR",19-03-55,0.0,,,65.0,43.0,True
78,GR000016716,"HELLINIKON, GR",20-03-55,0.0,,,66.0,44.0,True
79,GR000016716,"HELLINIKON, GR",21-03-55,0.0,,,69.0,48.0,True
80,GR000016716,"HELLINIKON, GR",22-03-55,0.0,,,66.0,47.0,True
81,GR000016716,"HELLINIKON, GR",23-03-55,0.01,,,67.0,52.0,True
82,GR000016716,"HELLINIKON, GR",24-03-55,0.0,,,68.0,53.0,True
83,GR000016716,"HELLINIKON, GR",25-03-55,0.0,,,69.0,52.0,True
84,GR000016716,"HELLINIKON, GR",26-03-55,0.0,,,70.0,48.0,True
85,GR000016716,"HELLINIKON, GR",27-03-55,0.0,,,72.0,51.0,True
86,GR000016716,"HELLINIKON, GR",28-03-55,0.0,,,73.0,57.0,True
87,GR000016716,"HELLINIKON, GR",29-03-55,0.0,,,73.0,58.0,True
88,GR000016716,"HELLINIKON, GR",30-03-55,0.0,,,74.0,57.0,True
89,GR000016716,"HELLINIKON, GR",31-03-55,0.0,,,76.0,57.0,True
90,GR000016716,"HELLINIKON, GR",01-04-55,0.0,,,78.0,61.0,True
91,GR000016716,"HELLINIKON, GR",02-04-55,0.0,,,74.0,59.0,True
92,GR000016716,"HELLINIKON, GR",03-04-55,0.0,,,63.0,53.0,True
93,GR000016716,"HELLINIKON, GR",04-04-55,0.02,,,64.0,51.0,True
94,GR000016716,"HELLINIKON, GR",05-04-55,0.03,,,59.0,52.0,True
95,GR000016716,"HELLINIKON, GR",06-04-55,0.0,,,63.0,44.0,True
96,GR000016716,"HELLINIKON, GR",07-04-55,0.0,,,59.0,44.0,True
97,GR000016716,"HELLINIKON, GR",08-04-55,0.0,,,59.0,44.0,True
98,GR000016716,"HELLINIKON, GR",09-04-55,0.0,,,64.0,44.0,True
99,GR000016716,"HELLINIKON, GR",10-04-55,0.0,,,69.0,54.0,True
100,GR000016716,"HELLINIKON, GR",11-04-55,0.0,,,67.0,48.0,True
101,GR000016716,"HELLINIKON, GR",12-04-55,0.12,,,67.0,54.0,True
102,GR000016716,"HELLINIKON, GR",13-04-55,0.01,,,69.0,53.0,True
103,GR000016716,"HELLINIKON, GR",14-04-55,0.14,,,61.0,52.0,True
104,GR000016716,"HELLINIKON, GR",15-04-55,0.71,,,64.0,47.0,True
105,GR000016716,"HELLINIKON, GR",16-04-55,0.04,,,67.0,51.0,True
106,GR000016716,"HELLINIKON, GR",17-04-55,0.0,,,67.0,48.0,True
107,GR000016716,"HELLINIKON, GR",18-04-55,0.0,,,65.0,47.0,True
108,GR000016716,"HELLINIKON, GR",19-04-55,0.13,,,61.0,49.0,True
109,GR000016716,"HELLINIKON, GR",20-04-55,0.0,,,63.0,46.0,True
110,GR000016716,"HELLINIKON, GR",21-04-55,0.0,,,63.0,43.0,True
111,GR000016716,"HELLINIKON, GR",22-04-55,0.0,,,63.0,45.0,True
112,GR000016716,"HELLINIKON, GR",23-04-55,0.0,,,67.0,48.0,True
113,GR000016716,"HELLINIKON, GR",24-04-55,0.0,,,67.0,48.0,True
114,GR000016716,"HELLINIKON, GR",25-04-55,0.04,,,68.0,56.0,True
115,GR000016716,"HELLINIKON, GR",26-04-55,0.11,,,59.0,51.0,True
116,GR000016716,"HELLINIKON, GR",27-04-55,0.0,,,66.0,49.0,True
117,GR000016716,"HELLINIKON, GR",28-04-55,0.0,,,70.0,48.0,True
118,GR000016716,"HELLINIKON, GR",29-04-55,0.0,,,70.0,50.0,True
119,GR000016716,"HELLINIKON, GR",30-04-55,0.0,,,68.0,52.0,True
120,GR000016716,"HELLINIKON, GR",01-05-55,0.0,,,73.0,50.0,True
121,GR000016716,"HELLINIKON, GR",02-05-55,0.0,,,69.0,56.0,True
122,GR000016716,"HELLINIKON, GR",03-05-55,0.0,,,75.0,55.0,True
123,GR000016716,"HELLINIKON, GR",04-05-55,0.0,,,74.0,55.0,True
124,GR000016716,"HELLINIKON, GR",05-05-55,0.0,,,75.0,55.0,True
125,GR000016716,"HELLINIKON, GR",06-05-55,0.0,,,72.0,57.0,True
126,GR000016716,"HELLINIKON, GR",07-05-55,0.0,,,72.0,56.0,True
127,GR000016716,"HELLINIKON, GR",08-05-55,0.0,,,73.0,56.0,True
128,GR000016716,"HELLINIKON, GR",09-05-55,0.0,,,81.0,56.0,True
129,GR000016716,"HELLINIKON, GR",10-05-55,0.0,,,79.0,56.0,True
130,GR000016716,"HELLINIKON, GR",11-05-55,0.01,,,74.0,56.0,True
131,GR000016716,"HELLINIKON, GR",12-05-55,0.0,,,77.0,54.0,True
132,GR000016716,"HELLINIKON, GR",13-05-55,0.0,,,77.0,63.0,True
133,GR000016716,"HELLINIKON, GR",14-05-55,0.0,,,76.0,62.0,True
134,GR000016716,"HELLINIKON, GR",15-05-55,0.0,,,74.0,58.0,True
135,GR000016716,"HELLINIKON, GR",16-05-55,0.0,,,75.0,59.0,True
136,GR000016716,"HELLINIKON, GR",17-05-55,0.0,,,78.0,63.0,True
137,GR000016716,"HELLINIKON, GR",18-05-55,0.0,,,78.0,62.0,True
138,GR000016716,"HELLINIKON, GR",19-05-55,0.0,,,82.0,63.0,True
139,GR000016716,"HELLINIKON, GR",20-05-55,0.0,,,83.0,64.0,True
140,GR000016716,"HELLINIKON, GR",21-05-55,0.0,,,81.0,63.0,True
141,GR000016716,"HELLINIKON, GR",22-05-55,0.0,,,82.0,65.0,True
142,GR000016716,"HELLINIKON, GR",23-05-55,0.0,,,80.0,67.0,True
143,GR000016716,"HELLINIKON, GR",24-05-55,0.0,,,73.0,61.0,True
144,GR000016716,"HELLINIKON, GR",25-05-55,0.0,,,73.0,57.0,True
145,GR000016716,"HELLINIKON, GR",26-05-55,0.0,,,73.0,57.0,True
146,GR000016716,"HELLINIKON, GR",27-05-55,0.0,,,77.0,61.0,True
147,GR000016716,"HELLINIKON, GR",28-05-55,0.0,,,82.0,67.0,True
148,GR000016716,"HELLINIKON, GR",29-05-55,0.0,,,86.0,68.0,True
149,GR000016716,"HELLINIKON, GR",30-05-55,0.0,,,82.0,69.0,True
150,GR000016716,"HELLINIKON, GR",31-05-55,0.0,,,82.0,68.0,True
151,GR000016716,"HELLINIKON, GR",01-06-55,0.0,,,79.0,64.0,True
152,GR000016716,"HELLINIKON, GR",02-06-55,0.0,,,80.0,63.0,True
153,GR000016716,"HELLINIKON, GR",03-06-55,0.0,,,79.0,63.0,True
154,GR000016716,"HELLINIKON, GR",04-06-55,0.0,,,80.0,66.0,True
155,GR000016716,"HELLINIKON, GR",05-06-55,0.0,,,81.0,64.0,True
156,GR000016716,"HELLINIKON, GR",06-06-55,0.0,,,82.0,66.0,True
157,GR000016716,"HELLINIKON, GR",07-06-55,0.0,,,81.0,68.0,True
158,GR000016716,"HELLINIKON, GR",08-06-55,0.0,,,79.0,66.0,True
159,GR000016716,"HELLINIKON, GR",09-06-55,0.0,,,86.0,67.0,True
160,GR000016716,"HELLINIKON, GR",10-06-55,0.0,,,92.0,68.0,True
161,GR000016716,"HELLINIKON, GR",11-06-55,0.0,,,87.0,72.0,True
162,GR000016716,"HELLINIKON, GR",12-06-55,0.0,,,88.0,72.0,True
163,GR000016716,"HELLINIKON, GR",13-06-55,0.0,,,81.0,68.0,True
164,GR000016716,"HELLINIKON, GR",14-06-55,0.0,,,80.0,64.0,True
165,GR000016716,"HELLINIKON, GR",15-06-55,0.0,,,83.0,68.0,True
166,GR000016716,"HELLINIKON, GR",16-06-55,0.0,,,79.0,67.0,True
167,GR000016716,"HELLINIKON, GR",17-06-55,0.0,,,81.0,62.0,True
168,GR000016716,"HELLINIKON, GR",18-06-55,0.0,,,83.0,65.0,True
169,GR000016716,"HELLINIKON, GR",19-06-55,0.0,,,93.0,65.0,True
170,GR000016716,"HELLINIKON, GR",20-06-55,0.0,,,91.0,76.0,True
171,GR000016716,"HELLINIKON, GR",21-06-55,0.0,,,94.0,72.0,True
172,GR000016716,"HELLINIKON, GR",22-06-55,0.0,,,95.0,69.0,True
173,GR000016716,"HELLINIKON, GR",23-06-55,0.0,,,90.0,71.0,True
174,GR000016716,"HELLINIKON, GR",24-06-55,0.0,,,88.0,73.0,True
175,GR000016716,"HELLINIKON, GR",25-06-55,0.0,,,86.0,70.0,True
176,GR000016716,"HELLINIKON, GR",26-06-55,0.0,,,83.0,65.0,True
177,GR000016716,"HELLINIKON, GR",27-06-55,0.0,,,85.0,67.0,True
178,GR000016716,"HELLINIKON, GR",28-06-55,0.0,,,88.0,70.0,True
179,GR000016716,"HELLINIKON, GR",29-06-55,0.0,,,87.0,72.0,True
180,GR000016716,"HELLINIKON, GR",30-06-55,0.0,,,88.0,73.0,True
181,GR000016716,"HELLINIKON, GR",01-07-55,0.0,,,88.0,70.0,True
182,GR000016716,"HELLINIKON, GR",02-07-55,0.0,,,91.0,72.0,True
183,GR000016716,"HELLINIKON, GR",03-07-55,0.0,,,91.0,71.0,True
184,GR000016716,"HELLINIKON, GR",04-07-55,0.0,,,87.0,72.0,True
185,GR000016716,"HELLINIKON, GR",05-07-55,0.0,,,86.0,71.0,True
186,GR000016716,"HELLINIKON, GR",06-07-55,0.0,,,87.0,71.0,True
187,GR000016716,"HELLINIKON, GR",07-07-55,0.0,,,87.0,74.0,True
188,GR000016716,"HELLINIKON, GR",08-07-55,0.0,,,86.0,69.0,True
189,GR000016716,"HELLINIKON, GR",09-07-55,0.0,,,85.0,68.0,True
190,GR000016716,"HELLINIKON, GR",10-07-55,0.0,,,86.0,71.0,True
191,GR000016716,"HELLINIKON, GR",11-07-55,0.0,,,87.0,70.0,True
192,GR000016716,"HELLINIKON, GR",12-07-55,0.0,,,89.0,70.0,True
193,GR000016716,"HELLINIKON, GR",13-07-55,0.0,,,92.0,76.0,True
194,GR000016716,"HELLINIKON, GR",14-07-55,0.0,,,91.0,72.0,True
195,GR000016716,"HELLINIKON, GR",15-07-55,0.0,,,88.0,73.0,True
196,GR000016716,"HELLINIKON, GR",16-07-55,0.0,,,91.0,69.0,True
197,GR000016716,"HELLINIKON, GR",17-07-55,0.0,,,91.0,73.0,True
198,GR000016716,"HELLINIKON, GR",18-07-55,0.0,,,91.0,70.0,True
199,GR000016716,"HELLINIKON, GR",19-07-55,0.0,,,90.0,75.0,True
200,GR000016716,"HELLINIKON, GR",20-07-55,0.0,,,94.0,73.0,True
201,GR000016716,"HELLINIKON, GR",21-07-55,0.0,,,90.0,72.0,True
202,GR000016716,"HELLINIKON, GR",22-07-55,0.0,,,91.0,75.0,True
203,GR000016716,"HELLINIKON, GR",23-07-55,0.0,,,91.0,75.0,True
204,GR000016716,"HELLINIKON, GR",24-07-55,0.0,,,90.0,70.0,True
205,GR000016716,"HELLINIKON, GR",25-07-55,0.09,,,88.0,71.0,True
206,GR000016716,"HELLINIKON, GR",26-07-55,0.0,,,86.0,72.0,True
207,GR000016716,"HELLINIKON, GR",27-07-55,0.0,,,94.0,74.0,True
208,GR000016716,"HELLINIKON, GR",28-07-55,0.0,,,92.0,79.0,True
209,GR000016716,"HELLINIKON, GR",29-07-55,0.0,,,91.0,77.0,True
210,GR000016716,"HELLINIKON, GR",30-07-55,0.0,,,87.0,80.0,True
211,GR000016716,"HELLINIKON, GR",31-07-55,0.0,,,88.0,71.0,True
212,GR000016716,"HELLINIKON, GR",01-08-55,0.0,,,85.0,72.0,True
213,GR000016716,"HELLINIKON, GR",02-08-55,0.0,,,86.0,70.0,True
214,GR000016716,"HELLINIKON, GR",03-08-55,0.0,,,87.0,72.0,True
215,GR000016716,"HELLINIKON, GR",04-08-55,0.0,,,90.0,74.0,True
216,GR000016716,"HELLINIKON, GR",05-08-55,0.0,,,88.0,75.0,True
217,GR000016716,"HELLINIKON, GR",06-08-55,0.0,,,86.0,73.0,True
218,GR000016716,"HELLINIKON, GR",07-08-55,0.0,,,87.0,72.0,True
219,GR000016716,"HELLINIKON, GR",08-08-55,0.0,,,85.0,72.0,True
220,GR000016716,"HELLINIKON, GR",09-08-55,0.0,,,86.0,68.0,True
221,GR000016716,"HELLINIKON, GR",10-08-55,0.0,,,88.0,73.0,True
222,GR000016716,"HELLINIKON, GR",11-08-55,0.0,,,86.0,69.0,True
223,GR000016716,"HELLINIKON, GR",12-08-55,0.0,,,87.0,71.0,True
224,GR000016716,"HELLINIKON, GR",13-08-55,0.0,,,86.0,72.0,True
225,GR000016716,"HELLINIKON, GR",14-08-55,0.0,,,90.0,72.0,True
226,GR000016716,"HELLINIKON, GR",15-08-55,0.0,,,92.0,73.0,True
227,GR000016716,"HELLINIKON, GR",16-08-55,0.19,,,87.0,70.0,True
228,GR000016716,"HELLINIKON, GR",17-08-55,0.25,,,78.0,65.0,True
229,GR000016716,"HELLINIKON, GR",18-08-55,0.22,,,79.0,68.0,True
230,GR000016716,"HELLINIKON, GR",19-08-55,0.0,,,86.0,65.0,True
