STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
GR000016716,"HELLINIKON, GR",01-01-55,0,,,65,50
GR000016716,"HELLINIKON, GR",02-01-55,0.08,,,58,45
GR000016716,"HELLINIKON, GR",03-01-55,0,,,60,49
GR000016716,"HELLINIKON, GR",04-01-55,0,,,66,45
GR000016716,"HELLINIKON, GR",05-01-55,0,,,64,47
GR000016716,"HELLINIKON, GR",06-01-55,0,,,67,48
GR000016716,"HELLINIKON, GR",07-01-55,0,,,64,47
GR000016716,"HELLINIKON, GR",08-01-55,0,,,64,56
GR000016716,"HELLINIKON, GR",09-01-55,0.12,,,63,54
GR000016716,"HELLINIKON, GR",10-01-55,0,,,64,47
GR000016716,"HELLINIKON, GR",11-01-55,0.02,,,61,50
GR000016716,"HELLINIKON, GR",12-01-55,0,,,64,47
GR000016716,"HELLINIKON, GR",13-01-55,0,,,69,48
GR000016716,"HELLINIKON, GR",14-01-55,0,,,70,50
GR000016716,"HELLINIKON, GR",15-01-55,0,,,71,52
GR000016716,"HELLINIKON, GR",16-01-55,0,,,66,48
GR000016716,"HELLINIKON, GR",17-01-55,0,,,65,47
GR000016716,"HELLINIKON, GR",18-01-55,0,,,65,58
GR000016716,"HELLINIKON, GR",19-01-55,0.06,,,65,57
GR000016716,"HELLINIKON, GR",20-01-55,0.22,,,63,50
GR000016716,"HELLINIKON, GR",21-01-55,0.43,,,59,54
GR000016716,"HELLINIKON, GR",22-01-55,1.09,,,55,49
GR000016716,"HELLINIKON, GR",23-01-55,0,,,59,45
GR000016716,"HELLINIKON, GR",24-01-55,0,,,56,49
GR000016716,"HELLINIKON, GR",25-01-55,0,,,53,47
GR000016716,"HELLINIKON, GR",26-01-55,0,,,55,44
GR000016716,"HELLINIKON, GR",27-01-55,0,,,57,44
GR000016716,"HELLINIKON, GR",28-01-55,0,,,58,40
GR000016716,"HELLINIKON, GR",29-01-55,0,,,62,49
GR000016716,"HELLINIKON, GR",30-01-55,0.63,,,61,51
GR000016716,"HELLINIKON, GR",31-01-55,0,,,66,46
GR000016716,"HELLINIKON, GR",01-02-55,0,,,60,47
GR000016716,"HELLINIKON, GR",02-02-55,0.14,,,66,52
GR000016716,"HELLINIKON, GR",03-02-55,0.37,,,58,46
GR000016716,"HELLINIKON, GR",04-02-55,0.19,,,58,41
GR000016716,"HELLINIKON, GR",05-02-55,0.59,,,58,49
GR000016716,"HELLINIKON, GR",06-02-55,0,,,66,47
GR000016716,"HELLINIKON, GR",07-02-55,0,,,64,44
GR000016716,"HELLINIKON, GR",08-02-55,0,,,64,54
GR000016716,"HELLINIKON, GR",09-02-55,0,,,65,51
GR000016716,"HELLINIKON, GR",10-02-55,0,,,64,48
GR000016716,"HELLINIKON, GR",11-02-55,0,,,71,47
GR000016716,"HELLINIKON, GR",12-02-55,0,,,67,47
GR000016716,"HELLINIKON, GR",13-02-55,0,,,64,53
GR000016716,"HELLINIKON, GR",14-02-55,0,,,66,51
GR000016716,"HELLINIKON, GR",15-02-55,0,,,63,47
GR000016716,"HELLINIKON, GR",16-02-55,0,,,60,41
GR000016716,"HELLINIKON, GR",17-02-55,0,,,67,52
GR000016716,"HELLINIKON, GR",18-02-55,0,,,70,60
GR000016716,"HELLINIKON, GR",19-02-55,0,,,69,53
GR000016716,"HELLINIKON, GR",20-02-55,0,,,68,48
GR000016716,"HELLINIKON, GR",21-02-55,0,,,64,50
GR000016716,"HELLINIKON, GR",22-02-55,0,,,62,47
GR000016716,"HELLINIKON, GR",23-02-55,0,,,63,46
GR000016716,"HELLINIKON, GR",24-02-55,0,,,65,51
GR000016716,"HELLINIKON, GR",25-02-55,0,,,69,57
GR000016716,"HELLINIKON, GR",26-02-55,0,,,67,60
GR000016716,"HELLINIKON, GR",27-02-55,0,,,68,43
GR000016716,"HELLINIKON, GR",28-02-55,0,,,63,48
GR000016716,"HELLINIKON, GR",01-03-55,0,,,64,53
GR000016716,"HELLINIKON, GR",02-03-55,0.48,,,65,45
GR000016716,"HELLINIKON, GR",03-03-55,0.11,,,51,44
GR000016716,"HELLINIKON, GR",04-03-55,0.03,,,50,38
GR000016716,"HELLINIKON, GR",05-03-55,0,,,47,35
GR000016716,"HELLINIKON, GR",06-03-55,0,,,57,32
GR000016716,"HELLINIKON, GR",07-03-55,0,,,58,35
GR000016716,"HELLINIKON, GR",08-03-55,0,,,65,50
GR000016716,"HELLINIKON, GR",09-03-55,0,,,67,52
GR000016716,"HELLINIKON, GR",10-03-55,0.01,,,61,50
GR000016716,"HELLINIKON, GR",11-03-55,0,,,63,53
GR000016716,"HELLINIKON, GR",12-03-55,0,,,59,46
GR000016716,"HELLINIKON, GR",13-03-55,0.01,,,53,46
GR000016716,"HELLINIKON, GR",14-03-55,0.04,,,55,46
GR000016716,"HELLINIKON, GR",15-03-55,0,,,52,45
GR000016716,"HELLINIKON, GR",16-03-55,0,,,53,43
GR000016716,"HELLINIKON, GR",17-03-55,0,,,57,39
GR000016716,"HELLINIKON, GR",18-03-55,0,,,61,45
GR000016716,"HELLINIKON, GR",19-03-55,0,,,65,43
GR000016716,"HELLINIKON, GR",20-03-55,0,,,66,44
GR000016716,"HELLINIKON, GR",21-03-55,0,,,69,48
GR000016716,"HELLINIKON, GR",22-03-55,0,,,66,47
GR000016716,"HELLINIKON, GR",23-03-55,0.01,,,67,52
GR000016716,"HELLINIKON, GR",24-03-55,0,,,68,53
GR000016716,"HELLINIKON, GR",25-03-55,0,,,69,52
GR000016716,"HELLINIKON, GR",26-03-55,0,,,70,48
GR000016716,"HELLINIKON, GR",27-03-55,0,,,72,51
GR000016716,"HELLINIKON, GR",28-03-55,0,,,73,57
GR000016716,"HELLINIKON, GR",29-03-55,0,,,73,58
GR000016716,"HELLINIKON, GR",30-03-55,0,,,74,57
GR000016716,"HELLINIKON, GR",31-03-55,0,,,76,57
GR000016716,"HELLINIKON, GR",01-04-55,0,,,78,61
GR000016716,"HELLINIKON, GR",02-04-55,0,,,74,59
GR000016716,"HELLINIKON, GR",03-04-55,0,,,63,53
GR000016716,"HELLINIKON, GR",04-04-55,0.02,,,64,51
GR000016716,"HELLINIKON, GR",05-04-55,0.03,,,59,52
GR000016716,"HELLINIKON, GR",06-04-55,0,,,63,44
GR000016716,"HELLINIKON, GR",07-04-55,0,,,59,44
GR000016716,"HELLINIKON, GR",08-04-55,0,,,59,44
GR000016716,"HELLINIKON, GR",09-04-55,0,,,64,44
GR000016716,"HELLINIKON, GR",10-04-55,0,,,69,54
GR000016716,"HELLINIKON, GR",11-04-55,0,,,67,48
GR000016716,"HELLINIKON, GR",12-04-55,0.12,,,67,54
GR000016716,"HELLINIKON, GR",13-04-55,0.01,,,69,53
GR000016716,"HELLINIKON, GR",14-04-55,0.14,,,61,52
GR000016716,"HELLINIKON, GR",15-04-55,0.71,,,64,47
