,DATE,STATION,NAME,NEWDATE,PRCP,SNWD,TAVG,TMAX,TMIN,MONTH,YEAR,30YAVG
0,1974-01-01,GR000016716,"HELLINIKON, GR",1974-01-01,0.0,,12.0,13.0,10.0,1.0,1974.0,12.0
1,1974-01-02,GR000016716,"HELLINIKON, GR",1974-01-02,0.0,,14.0,16.0,11.0,1.0,1974.0,13.0
2,1974-01-03,GR000016716,"HELLINIKON, GR",1974-01-03,10.0,,12.0,16.0,11.0,1.0,1974.0,12.666666666666666
3,1974-01-04,GR000016716,"HELLINIKON, GR",1974-01-04,0.0,,11.0,13.0,8.0,1.0,1974.0,12.25
4,1974-01-05,GR000016716,"HELLINIKON, GR",1974-01-05,0.0,,9.0,11.0,8.0,1.0,1974.0,11.6
5,1974-01-06,GR000016716,"HELLINIKON, GR",1974-01-06,0.0,,9.0,12.0,5.0,1.0,1974.0,11.166666666666666
6,1974-01-07,GR000016716,"HELLINIKON, GR",1974-01-07,0.0,,9.0,12.0,8.0,1.0,1974.0,10.857142857142858
7,1974-01-08,GR000016716,"HELLINIKON, GR",1974-01-08,0.0,,9.0,13.0,7.0,1.0,1974.0,10.625
8,1974-01-09,GR000016716,"HELLINIKON, GR",1974-01-09,4.0,,8.0,11.0,7.0,1.0,1974.0,10.333333333333334
9,1974-01-10,GR000016716,"HELLINIKON, GR",1974-01-10,0.0,,9.0,10.0,7.0,1.0,1974.0,10.2
10,1974-01-11,GR000016716,"HELLINIKON, GR",1974-01-11,0.0,,11.0,12.0,9.0,1.0,1974.0,10.272727272727273
11,1974-01-12,GR000016716,"HELLINIKON, GR",1974-01-12,1.0,,10.0,11.0,9.0,1.0,1974.0,10.25
12,1974-01-13,GR000016716,"HELLINIKON, GR",1974-01-13,4.0,,6.0,10.0,3.0,1.0,1974.0,9.923076923076923
13,1974-01-14,GR000016716,"HELLINIKON, GR",1974-01-14,0.0,,6.0,7.0,3.0,1.0,1974.0,9.642857142857142
14,1974-01-15,GR000016716,"HELLINIKON, GR",1974-01-15,0.0,,6.0,7.0,4.0,1.0,1974.0,9.4
15,1974-01-16,GR000016716,"HELLINIKON, GR",1974-01-16,0.0,,5.0,7.0,4.0,1.0,1974.0,9.125
16,1974-01-17,GR000016716,"HELLINIKON, GR",1974-01-17,0.0,,7.0,11.0,0.0,1.0,1974.0,9.0
17,1974-01-18,GR000016716,"HELLINIKON, GR",1974-01-18,2.0,,8.0,13.0,6.0,1.0,1974.0,8.944444444444445
18,1974-01-19,GR000016716,"HELLINIKON, GR",1974-01-19,3.0,,6.0,7.0,3.0,1.0,1974.0,8.789473684210526
19,1974-01-20,GR000016716,"HELLINIKON, GR",1974-01-20,0.0,,8.0,12.0,4.0,1.0,1974.0,8.75
20,1974-01-21,GR000016716,"HELLINIKON, GR",1974-01-21,0.0,,11.0,13.0,7.0,1.0,1974.0,8.857142857142858
21,1974-01-22,GR000016716,"HELLINIKON, GR",1974-01-22,0.0,,9.0,13.0,7.0,1.0,1974.0,8.863636363636363
22,1974-01-23,GR000016716,"HELLINIKON, GR",1974-01-23,0.0,,8.0,12.0,5.0,1.0,1974.0,8.826086956521738
23,1974-01-24,GR000016716,"HELLINIKON, GR",1974-01-24,0.0,,10.0,14.0,6.0,1.0,1974.0,8.875
24,1974-01-25,GR000016716,"HELLINIKON, GR",1974-01-25,0.0,,9.0,13.0,5.0,1.0,1974.0,8.88
25,1974-01-26,GR000016716,"HELLINIKON, GR",1974-01-26,0.0,,10.0,13.0,8.0,1.0,1974.0,8.923076923076923
26,1974-01-27,GR000016716,"HELLINIKON, GR",1974-01-27,0.0,,10.0,13.0,8.0,1.0,1974.0,8.962962962962964
27,1974-01-28,GR000016716,"HELLINIKON, GR",1974-01-28,0.0,,9.0,12.0,8.0,1.0,1974.0,8.964285714285714
28,1974-01-29,GR000016716,"HELLINIKON, GR",1974-01-29,0.0,,9.0,13.0,7.0,1.0,1974.0,8.96551724137931
29,1974-01-30,GR000016716,"HELLINIKON, GR",1974-01-30,0.0,,8.0,12.0,5.0,1.0,1974.0,8.933333333333334
30,1974-01-31,GR000016716,"HELLINIKON, GR",1974-01-31,0.0,,8.0,11.0,8.0,1.0,1974.0,8.8
31,1974-02-01,GR000016716,"HELLINIKON, GR",1974-02-01,0.0,,7.0,12.0,2.0,2.0,1974.0,8.566666666666666
32,1974-02-02,GR000016716,"HELLINIKON, GR",1974-02-02,0.0,,9.0,13.0,4.0,2.0,1974.0,8.466666666666667
33,1974-02-03,GR000016716,"HELLINIKON, GR",1974-02-03,0.0,,11.0,16.0,7.0,2.0,1974.0,8.466666666666667
34,1974-02-04,GR000016716,"HELLINIKON, GR",1974-02-04,0.0,,13.0,16.0,8.0,2.0,1974.0,8.6
35,1974-02-05,GR000016716,"HELLINIKON, GR",1974-02-05,4.0,,13.0,16.0,10.0,2.0,1974.0,8.733333333333333
36,1974-02-06,GR000016716,"HELLINIKON, GR",1974-02-06,0.0,,13.0,16.0,11.0,2.0,1974.0,8.866666666666667
37,1974-02-07,GR000016716,"HELLINIKON, GR",1974-02-07,0.0,,14.0,16.0,12.0,2.0,1974.0,9.033333333333333
38,1974-02-08,GR000016716,"HELLINIKON, GR",1974-02-08,9.0,,11.0,16.0,8.0,2.0,1974.0,9.133333333333333
39,1974-02-09,GR000016716,"HELLINIKON, GR",1974-02-09,1.0,,8.0,11.0,7.0,2.0,1974.0,9.1
40,1974-02-10,GR000016716,"HELLINIKON, GR",1974-02-10,0.0,,9.0,15.0,3.0,2.0,1974.0,9.033333333333333
41,1974-02-11,GR000016716,"HELLINIKON, GR",1974-02-11,0.0,,11.0,17.0,4.0,2.0,1974.0,9.066666666666666
42,1974-02-12,GR000016716,"HELLINIKON, GR",1974-02-12,0.0,,11.0,16.0,6.0,2.0,1974.0,9.233333333333333
43,1974-02-13,GR000016716,"HELLINIKON, GR",1974-02-13,0.0,,12.0,16.0,7.0,2.0,1974.0,9.433333333333334
44,1974-02-14,GR000016716,"HELLINIKON, GR",1974-02-14,0.0,,16.0,18.0,13.0,2.0,1974.0,9.766666666666667
45,1974-02-15,GR000016716,"HELLINIKON, GR",1974-02-15,0.0,,16.0,17.0,15.0,2.0,1974.0,10.133333333333333
46,1974-02-16,GR000016716,"HELLINIKON, GR",1974-02-16,7.0,,13.0,16.0,10.0,2.0,1974.0,10.333333333333334
47,1974-02-17,GR000016716,"HELLINIKON, GR",1974-02-17,3.0,,13.0,17.0,11.0,2.0,1974.0,10.5
48,1974-02-18,GR000016716,"HELLINIKON, GR",1974-02-18,0.0,,13.0,17.0,11.0,2.0,1974.0,10.733333333333333
49,1974-02-19,GR000016716,"HELLINIKON, GR",1974-02-19,0.0,,14.0,17.0,10.0,2.0,1974.0,10.933333333333334
50,1974-02-20,GR000016716,"HELLINIKON, GR",1974-02-20,4.0,,14.0,16.0,10.0,2.0,1974.0,11.033333333333333
51,1974-02-21,GR000016716,"HELLINIKON, GR",1974-02-21,0.0,,13.0,17.0,9.0,2.0,1974.0,11.166666666666666
52,1974-02-22,GR000016716,"HELLINIKON, GR",1974-02-22,0.0,,12.0,16.0,9.0,2.0,1974.0,11.3
