,DATE,STATION,NAME,PRCP,SNWD,TAVG,TMAX,TMIN
20086,2010-01-01,GR000016716,"HELLINIKON, GR",,,18.0,22.0,14.0
20087,2010-01-02,GR000016716,"HELLINIKON, GR",0.0,,16.0,18.0,14.0
20088,2010-01-03,GR000016716,"HELLINIKON, GR",0.0,,13.0,16.0,11.0
20089,2010-01-04,GR000016716,"HELLINIKON, GR",0.0,,9.0,11.0,6.0
20090,2010-01-05,GR000016716,"HELLINIKON, GR",0.0,,13.0,16.0,8.0
20091,2010-01-06,GR000016716,"HELLINIKON, GR",0.3,,17.0,18.0,16.0
20092,2010-01-07,GR000016716,"HELLINIKON, GR",0.0,,17.0,19.0,15.0
20093,2010-01-08,GR000016716,"HELLINIKON, GR",0.0,,16.0,18.0,14.0
20094,2010-01-09,GR000016716,"HELLINIKON, GR",0.0,,17.0,18.0,15.0
20095,2010-01-10,GR000016716,"HELLINIKON, GR",0.0,,14.0,17.0,11.0
20096,2010-01-11,GR000016716,"HELLINIKON, GR",0.0,,12.0,15.0,11.0
20097,2010-01-12,GR000016716,"HELLINIKON, GR",0.0,,12.0,14.0,10.0
20098,2010-01-13,GR000016716,"HELLINIKON, GR",0.3,,11.0,14.0,8.0
20099,2010-01-14,GR000016716,"HELLINIKON, GR",7.1,,11.0,12.0,9.0
20100,2010-01-15,GR000016716,"HELLINIKON, GR",2.0,,11.0,14.0,8.0
20101,2010-01-16,GR000016716,"HELLINIKON, GR",0.0,,11.0,,
20102,2010-01-17,GR000016716,"HELLINIKON, GR",1.8,,10.0,12.0,9.0
20103,2010-01-18,GR000016716,"HELLINIKON, GR",0.0,,11.0,13.0,8.0
20104,2010-01-19,GR000016716,"HELLINIKON, GR",,,9.0,12.0,6.0
20105,2010-01-20,GR000016716,"HELLINIKON, GR",0.0,,7.0,11.0,4.0
20106,2010-01-21,GR000016716,"HELLINIKON, GR",0.0,,8.0,13.0,3.0
20107,2010-01-22,GR000016716,"HELLINIKON, GR",0.0,,8.0,10.0,6.0
20108,2010-01-23,GR000016716,"HELLINIKON, GR",6.1,,7.0,9.0,4.0
20109,2010-01-24,GR000016716,"HELLINIKON, GR",0.0,,6.0,8.0,3.0
20110,2010-01-25,GR000016716,"HELLINIKON, GR",0.0,,4.0,7.0,2.0
20111,2010-01-26,GR000016716,"HELLINIKON, GR",0.0,,4.0,7.0,0.0
20112,2010-01-27,GR000016716,"HELLINIKON, GR",0.0,,6.0,7.0,5.0
20113,2010-01-28,GR000016716,"HELLINIKON, GR",4.3,,8.0,12.0,5.0
20114,2010-01-29,GR000016716,"HELLINIKON, GR",0.3,,12.0,17.0,8.0
20115,2010-01-30,GR000016716,"HELLINIKON, GR",0.0,,13.0,17.0,10.0
20116,2010-01-31,GR000016716,"HELLINIKON, GR",0.0,,14.0,17.0,10.0
20117,2010-02-01,GR000016716,"HELLINIKON, GR",0.0,,13.0,18.0,8.0
20118,2010-02-02,GR000016716,"HELLINIKON, GR",11.9,,8.0,,
20119,2010-02-03,GR000016716,"HELLINIKON, GR",2.3,,4.0,8.0,0.0
20120,2010-02-04,GR000016716,"HELLINIKON, GR",0.0,,7.0,13.0,0.0
