,DATE,STATION,NAME,NEWDATE,PRCP,SNWD,TAVG,TMAX,TMIN,MONTH,YEAR,30YAVG
0,2055-01-01,GR000016716,"HELLINIKON, GR",1955-01-01,0.0,,14.0,18.0,10.0,1.0,1955.0,14.0
1,2055-01-02,GR000016716,"HELLINIKON, GR",1955-01-02,2.0,,11.0,14.0,7.0,1.0,1955.0,12.5
2,2055-01-03,GR000016716,"HELLINIKON, GR",1955-01-03,0.0,,12.0,16.0,9.0,1.0,1955.0,12.333333333333334
3,2055-01-04,GR000016716,"HELLINIKON, GR",1955-01-04,0.0,,13.0,19.0,7.0,1.0,1955.0,12.5
4,2055-01-05,GR000016716,"HELLINIKON, GR",1955-01-05,0.0,,13.0,18.0,8.0,1.0,1955.0,12.6
5,2055-01-06,GR000016716,"HELLINIKON, GR",1955-01-06,0.0,,14.0,19.0,9.0,1.0,1955.0,12.833333333333334
6,2055-01-07,GR000016716,"HELLINIKON, GR",1955-01-07,0.0,,13.0,18.0,8.0,1.0,1955.0,12.857142857142858
7,2055-01-08,GR000016716,"HELLINIKON, GR",1955-01-08,0.0,,16.0,18.0,13.0,1.0,1955.0,13.25
8,2055-01-09,GR000016716,"HELLINIKON, GR",1955-01-09,3.0,,15.0,17.0,12.0,1.0,1955.0,13.444444444444445
9,2055-01-10,GR000016716,"HELLINIKON, GR",1955-01-10,0.0,,13.0,18.0,8.0,1.0,1955.0,13.4
10,2055-01-11,GR000016716,"HELLINIKON, GR",1955-01-11,0.0,,13.0,16.0,10.0,1.0,1955.0,13.363636363636363
11,2055-01-12,GR000016716,"HELLINIKON, GR",1955-01-12,0.0,,13.0,18.0,8.0,1.0,1955.0,13.333333333333334
12,2055-01-13,GR000016716,"HELLINIKON, GR",1955-01-13,0.0,,15.0,21.0,9.0,1.0,1955.0,13.461538461538462
13,2055-01-14,GR000016716,"HELLINIKON, GR",1955-01-14,0.0,,16.0,21.0,10.0,1.0,1955.0,13.642857142857142
14,2055-01-15,GR000016716,"HELLINIKON, GR",1955-01-15,0.0,,16.0,22.0,11.0,1.0,1955.0,13.8
15,2055-01-16,GR000016716,"HELLINIKON, GR",1955-01-16,0.0,,14.0,19.0,9.0,1.0,1955.0,13.8125
16,2055-01-17,GR000016716,"HELLINIKON, GR",1955-01-17,0.0,,13.0,18.0,8.0,1.0,1955.0,13.764705882352942
17,2055-01-18,GR000016716,"HELLINIKON, GR",1955-01-18,0.0,,16.0,18.0,14.0,1.0,1955.0,13.88888888888889
18,2055-01-19,GR000016716,"HELLINIKON, GR",1955-01-19,2.0,,16.0,18.0,14.0,1.0,1955.0,14.0
19,2055-01-20,GR000016716,"HELLINIKON, GR",1955-01-20,6.0,,14.0,17.0,10.0,1.0,1955.0,14.0
20,2055-01-21,GR000016716,"HELLINIKON, GR",1955-01-21,11.0,,14.0,15.0,12.0,1.0,1955.0,14.0
21,2055-01-22,GR000016716,"HELLINIKON, GR",1955-01-22,28.0,,11.0,13.0,9.0,1.0,1955.0,13.863636363636363
22,2055-01-23,GR000016716,"HELLINIKON, GR",1955-01-23,0.0,,11.0,15.0,7.0,1.0,1955.0,13.73913043478261
23,2055-01-24,GR000016716,"HELLINIKON, GR",1955-01-24,0.0,,11.0,13.0,9.0,1.0,1955.0,13.625
24,2055-01-25,GR000016716,"HELLINIKON, GR",1955-01-25,0.0,,10.0,12.0,8.0,1.0,1955.0,13.48
25,2055-01-26,GR000016716,"HELLINIKON, GR",1955-01-26,0.0,,10.0,13.0,7.0,1.0,1955.0,13.346153846153847
26,2055-01-27,GR000016716,"HELLINIKON, GR",1955-01-27,0.0,,10.0,14.0,7.0,1.0,1955.0,13.222222222222221
27,2055-01-28,GR000016716,"HELLINIKON, GR",1955-01-28,0.0,,9.0,14.0,4.0,1.0,1955.0,13.071428571428571
28,2055-01-29,GR000016716,"HELLINIKON, GR",1955-01-29,0.0,,13.0,17.0,9.0,1.0,1955.0,13.068965517241379
29,2055-01-30,GR000016716,"HELLINIKON, GR",1955-01-30,16.0,,13.0,16.0,11.0,1.0,1955.0,13.066666666666666
30,2055-01-31,GR000016716,"HELLINIKON, GR",1955-01-31,0.0,,13.0,19.0,8.0,1.0,1955.0,13.033333333333333
31,2055-02-01,GR000016716,"HELLINIKON, GR",1955-02-01,0.0,,12.0,16.0,8.0,2.0,1955.0,13.066666666666666
32,2055-02-02,GR000016716,"HELLINIKON, GR",1955-02-02,4.0,,15.0,19.0,11.0,2.0,1955.0,13.166666666666666
