,index,DATE,STATION,NAME,NEWDATE,PRCP,SNWD,TAVG_x,TMAX,TMIN,MONTH,YEAR,30YAVG,MM_DD,MM,DAY,TAVG_y,
0,6940,01-01-74,GR000016716,"HELLINIKON, GR",01-01-74,0,,12,13,10,1,1974,13,01-Jan,Jan,1,10.42307692,TRUE
1,6941,02-01-74,GR000016716,"HELLINIKON, GR",02-01-74,0,,14,16,11,1,1974,13.1,01-Feb,Jan,2,10.61538462,TRUE
2,6942,03-01-74,GR000016716,"HELLINIKON, GR",03-01-74,10,,12,16,11,1,1974,13,01-Mar,Jan,3,10.19230769,TRUE
3,6943,04-01-74,GR000016716,"HELLINIKON, GR",04-01-74,0,,11,13,8,1,1974,12.9,01-Apr,Jan,4,9.615384615,TRUE
4,6944,05-01-74,GR000016716,"HELLINIKON, GR",05-01-74,0,,9,11,8,1,1974,12.8,01-May,Jan,5,9.961538462,FALSE
5,6945,06-01-74,GR000016716,"HELLINIKON, GR",06-01-74,0,,9,12,5,1,1974,12.7,01-Jun,Jan,6,9.730769231,FALSE
6,6946,07-01-74,GR000016716,"HELLINIKON, GR",07-01-74,0,,9,12,8,1,1974,12.5,01-Jul,Jan,7,10.11538462,FALSE
7,6947,08-01-74,GR000016716,"HELLINIKON, GR",08-01-74,0,,9,13,7,1,1974,12.3,01-Aug,Jan,8,9.769230769,FALSE
8,6948,09-01-74,GR000016716,"HELLINIKON, GR",09-01-74,4,,8,11,7,1,1974,12.1,01-Sep,Jan,9,9.115384615,FALSE
9,6949,10-01-74,GR000016716,"HELLINIKON, GR",10-01-74,0,,9,10,7,1,1974,12.1,01-Oct,Jan,10,9.692307692,FALSE
10,6950,11-01-74,GR000016716,"HELLINIKON, GR",11-01-74,0,,11,12,9,1,1974,12.1,01-Nov,Jan,11,10.23076923,TRUE
11,6951,12-01-74,GR000016716,"HELLINIKON, GR",12-01-74,1,,10,11,9,1,1974,12.1,01-Dec,Jan,12,10.73076923,FALSE
12,6952,13-01-74,GR000016716,"HELLINIKON, GR",13-01-74,4,,6,10,3,1,1974,11.7,Jan-13,Jan,13,10.38461538,FALSE
13,6953,14-01-74,GR000016716,"HELLINIKON, GR",14-01-74,0,,6,7,3,1,1974,11.4,Jan-14,Jan,14,9.653846154,FALSE
14,6954,15-01-74,GR000016716,"HELLINIKON, GR",15-01-74,0,,6,7,4,1,1974,11.3,Jan-15,Jan,15,9.653846154,FALSE
15,6955,16-01-74,GR000016716,"HELLINIKON, GR",16-01-74,0,,5,7,4,1,1974,11.2,Jan-16,Jan,16,9.423076923,FALSE
16,6956,17-01-74,GR000016716,"HELLINIKON, GR",17-01-74,0,,7,11,0,1,1974,11,Jan-17,Jan,17,8.769230769,FALSE
17,6957,18-01-74,GR000016716,"HELLINIKON, GR",18-01-74,2,,8,13,6,1,1974,10.8,Jan-18,Jan,18,8.692307692,FALSE
18,6958,19-01-74,GR000016716,"HELLINIKON, GR",19-01-74,3,,6,7,3,1,1974,10.6,Jan-19,Jan,19,9.076923077,FALSE
19,6959,20-01-74,GR000016716,"HELLINIKON, GR",20-01-74,0,,8,12,4,1,1974,10.4,Jan-20,Jan,20,9.461538462,FALSE
20,6960,21-01-74,GR000016716,"HELLINIKON, GR",21-01-74,0,,11,13,7,1,1974,10.3,Jan-21,Jan,21,9.5,TRUE
21,6961,22-01-74,GR000016716,"HELLINIKON, GR",22-01-74,0,,9,13,7,1,1974,10.1,Jan-22,Jan,22,9.192307692,FALSE
22,6962,23-01-74,GR000016716,"HELLINIKON, GR",23-01-74,0,,8,12,5,1,1974,9.9,Jan-23,Jan,23,9.769230769,FALSE
23,6963,24-01-74,GR000016716,"HELLINIKON, GR",24-01-74,0,,10,14,6,1,1974,9.8,Jan-24,Jan,24,10.07692308,FALSE
24,6964,25-01-74,GR000016716,"HELLINIKON, GR",25-01-74,0,,9,13,5,1,1974,9.6,Jan-25,Jan,25,10.26923077,FALSE
25,6965,26-01-74,GR000016716,"HELLINIKON, GR",26-01-74,0,,10,13,8,1,1974,9.4,Jan-26,Jan,26,10.46153846,FALSE
