title,date,content,rating
I love this product but I can't find it anymore,17th December 2022,"This is my favorite toothpaste, however, I am unable to find it in stores in the gel version. Is this product still being sold or has it been discontinued?",5 stars
Collgate total,13th December 2022,Excellent toothpaste teeth feel so clean and fresh after brushing felt amazing,5 stars
Not good anymore,19th November 2022,Something changed lately in formula in many on colgate toothpasts... I will probably not use any of it anymore because of alergy. Been using for many years.,1 stars
Total SF formula is not as good as previous formula,22nd June 2022,Colgrate Total clean mint was the only toothpaste I used for years. It kept my teeth clean & tarter free. That all changed when the formula changed to use Stannous Flouride (SF). My teeth no longer have that slick clean feeling and I had multiple cavities at my next regular check-up. I will not buy Colgate Total (SF). It is not as good as it used to be and the SF seems to be the only ingredient change. Please bring back the previous Colgate Total formula.,1 stars
Could be greener,29th May 2022,We buy the 4.8 oz tube and see the advertisement to recycle. Recycling composite packaging is tough. Why not reduce waste by increasing the saltine sizes to 8 oz?,3 stars
Best all-rounder,3rd April 2022,"This is such a trustworthy Toothpaste, it does what it says on the packet. As simple as that, it hits over 8 issues with dental care. It's a good all rounder for price and use. You cannot doubt colgate.",5 stars
Best all-rounder,3rd April 2022,"This is such a trustworthy Toothpaste, it does what it says on the packet. As simple as that, it hits over 8 issues with dental care. It's a good all rounder for price and use. You cannot doubt colgate.",5 stars
New favourite toothpaste,28th March 2022,"Exactly what I was looking for - slightly whitens my teeth enough so they aren't as yellow as they normally are (previously over brushed) without any bad stuff in. Minty fresh and a good everyday toothpaste, perfect!",5 stars
New favourite toothpaste,28th March 2022,"Exactly what I was looking for - slightly whitens my teeth enough so they aren't as yellow as they normally are (previously over brushed) without any bad stuff in. Minty fresh and a good everyday toothpaste, perfect!",5 stars
Love this brand,4th March 2022,"I've always used colgate, just something about it always being professionally made and good history with teeth. It has a nice taste and isn't too thick. I'd only pick colgate as its never let me down",5 stars
Love it,28th February 2022,I am a colgate lover! I do not use other brand for my teeth. Recommend it for my dentist too.,5 stars
teeth,25th February 2022,I thought i would try this toothpaste for a change. I must say i prefer to use the gel rather then the paste the gel is not so messy .It had a fairly pleasure taste and my mouth felt fresh after brushing.,4 stars
teeth,25th February 2022,I thought i would try this toothpaste for a change. I must say i prefer to use the gel rather then the paste the gel is not so messy .It had a fairly pleasure taste and my mouth felt fresh after brushing.,4 stars
average,3rd February 2022,"I use this all the time, I prefer a whitening type but it does the job so happy to keep using. price is good and reliable, can get anywhere. I would reccomend this product.",3 stars
Not the best taste,2nd February 2022,"I have used a few different colgate toothpastes, this is my least favourite in terms of taste.",3 stars
Doesn't whiten the teeth,2nd February 2022,"I have used this as well as other colgate whitening toothpastes. Myself and my partner both brush our teeth twice a day, and the tube lasts a few weeks and we haven't noticed a difference.",2 stars
Toothpaste,1st February 2022,"Like the freshness of this toothpaste and how my teeth feel deeply, thoroughly cleaned after brushing. I love Colgate and have always used this brand for toothpaste",5 stars
Colgate,25th January 2022,Does what it says over time teeth can become whiter ..,5 stars
over priced,A Tesco Customer26th December 2021,"original price is £2.50 then its on offer for £1.(90 , i buy it in the £ shop for what it says your tooth paste is over priced",4 stars
"Will not buy again,",4th December 2021,No where on the outer packaging does it say that the flavor of different. It tastes disgusting.,1 stars
Great taste,24th November 2021,I like how this toothpaste leaves your mouth feeling really clean and fresh. It feels as if you've had a good clean. It tastes great and leaves your teeth feeling smooth. I would highly recommend this toothpaste,5 stars
Family toothpaste,23rd November 2021,My absolute favourite family toothpaste. It leaves your mouth feeling clean and fresh without being too strong. While using it I also found my teeth were not sensitive at all and appeared to be nice and white.,5 stars
Whitening toothpaste,22nd November 2021,Really good toothpaste. Exceeded my expectations. Would highly recommend,5 stars
"Fresh, mint,flavour which lasts long.",22nd November 2021,"I really like a Fresh, mint nice flavour which lasts long.Makes my teeth clean would definitely recommend.",5 stars
Family toothpaste,6th November 2021,family size toothpaste .The taste is minty without being overwhelming. The mouth feel fresh after using it. Really enjoying using it.,5 stars
Just amazing!,2nd November 2021,I tried and I'm in love from this toothpaste it's clean the teeth very very well and a very fresh flavour on the mouth.,5 stars
Good toothpaste - good results,2nd November 2021,"This is a good toothpaste with a fresh mint taste, noticed a slight whitening after starting to use this toothpaste, don't feel it blocks stains very well after drinking coffee but leaves mouth nice and fresh.",4 stars
Good toothpaste!,2nd November 2021,This toothpaste is doing amazing job in cleaning the teeth. It foams up so much more than any other I've used. I feel freshness in my mouth throughout the day. However I'm not very convinced it does anything to whiten my teeth. Overall very good toothpaste!,4 stars
Freshness,2nd November 2021,Definitely one of better toothpastes I tried. It has a minty taste and leaves your mouth and teeth feeling fresh for a long time. The only thing I wouldn't really agree with is that it is whitening. I didn't see any difference in colour. However overall I would recommend.,4 stars
Just amazing!,2nd November 2021,I tried and I'm in love from this toothpaste it's clean the teeth very very well and a very fresh flavour on the mouth.,5 stars
Just amazing!,2nd November 2021,I tried and I'm in love from this toothpaste it's clean the teeth very very well and a very fresh flavour on the mouth.,5 stars
Good toothpaste,2nd November 2021,"Good toothpaste, my teeth looks clean. Very gentle for gums. Taste mildly. Recommend by my dentist.",5 stars
Fab product,2nd November 2021,Fab product does as it says on the packaging. I wanted to use this product for a while before I gave my honest review. I will be certainly buy this product again brings up teeth sparkling and keeps your mouth fresh. Already recommended to family members!,4 stars
Nice toothpaste,1st November 2021,Overall its a nice toothpaste. It has a mild almost spearmint flavour. From using a little it makes a lot of foam which is good. It hasn't reduced the stain on my tooth but overall I would say my teeth look shiny but wouldn't say whuter.,4 stars
It's great!,1st November 2021,This is my new favorites toothpaste! After you wash your teeth it jest gives it that white pearly shine. I am very satisfied.,5 stars
Nice toothpaste,1st November 2021,Overall its a nice toothpaste. It has a mild almost spearmint flavour. From using a little it makes a lot of foam which is good. It hasn't reduced the stain on my tooth but overall I would say my teeth look shiny but wouldn't say whuter.,4 stars
Great daily oral care,31st October 2021,The toothpaste clean teeth very well and leaves fresh breath however I haven't noticed any change in whiteness of my teeth . I have been using the paste for a week so I still hope for some improvement. Its definitely great paste for daily use . My gums are not painful after the use as it sometimes happens with whitening pastes .,4 stars
good all round toothpaste and affordable,30th October 2021,"I found the Colgate Total Whitening Toothpaste to be a good all round Toothpaste at an affordable price. It has a smooth texture and a mild flavour. My mouth was left feeling clean but slightly dry, although that isn't a deal breaker as I would definitely purchase this Toothpaste in the future. I would say if your primary focus is for Whitening you may want to try a treatment rather than a Toothpaste.",4 stars
Colgate total whitening,29th October 2021,I would recommend this toothpaste to friends and family not only is it a large tube 125ml its has a nice flavour and also helps to prevent lots of oral related problems. I will be buying this toothpaste again.,4 stars
Great Results!,29th October 2021,I was super impressed with this paste. I found my breath was left super fresh and I could start to notice results almost instantly! After a week of using I won't be using anything else! It's protection element combined with its great whitening formula has made it a perfect everyday toothpaste!!,4 stars
Colgate total whitening,29th October 2021,I would recommend this toothpaste to friends and family not only is it a large tube 125ml its has a nice flavour and also helps to prevent lots of oral related problems. I will be buying this toothpaste again.,4 stars
Toothpaste,29th October 2021,Brilliant product! Strong minty flavour that leaves your mouth fresh and clean for longer. No need to use mouthwash after. Large tube 125ml. Definitely recommend it!,5 stars
Colgate total whitening,29th October 2021,I would recommend this toothpaste to friends and family not only is it a large tube 125ml its has a nice flavour and also helps to prevent lots of oral related problems. I will be buying this toothpaste again.,4 stars
Colgate Total Whitening Toothpaste 125ml,28th October 2021,"I was very happy that I was chosen to receive and review Colgate Total Whitening Toothpaste 125ml! I've been a long-time user of Colgate toothpaste so this is an exciting new addition to the products that I've tried. I used it immediately. My mouth and teeth felt very clean and fresh. It leaves a minty taste and odor that makes me feel really fresh and clean. I haven't seen any effects of the whitening that much but it did a good job in removing some stains on my teeth. Overall, I'm satisfied with the product and I will certainly continue to use it if it continues to perform well.",5 stars
Colgate Total Whitening Toothpaste 125ml,28th October 2021,"I was very happy that I was chosen to receive and review Colgate Total Whitening Toothpaste 125ml! I've been a long-time user of Colgate toothpaste so this is an exciting new addition to the products that I've tried. I used it immediately. My mouth and teeth felt very clean and fresh. It leaves a minty taste and odor that makes me feel really fresh and clean. I haven't seen any effects of the whitening that much but it did a good job in removing some stains on my teeth. Overall, I'm satisfied with the product and I will certainly continue to use it if it continues to perform well.",5 stars
Visible effects and good taste,28th October 2021,Really enjoyed the mint taste of the toothpaste as it wasn't over or under powering. Visible effects after a week use. Would definitely recommend.,5 stars
I loved how wide it made my teeth!,28th October 2021,Hello I loved it and how white it made my teeth. I would certainly recommend it to others,5 stars
Colgate Total Whitening Toothpaste 125ml,28th October 2021,"I was very happy that I was chosen to receive and review Colgate Total Whitening Toothpaste 125ml! I've been a long-time user of Colgate toothpaste so this is an exciting new addition to the products that I've tried. I used it immediately. My mouth and teeth felt very clean and fresh. It leaves a minty taste and odor that makes me feel really fresh and clean. I haven't seen any effects of the whitening that much but it did a good job in removing some stains on my teeth. Overall, I'm satisfied with the product and I will certainly continue to use it if it continues to perform well.",5 stars
